host_hostname,disk_bytes_read,disk_bytes_written,elapsed_time,name,path,start_time
Sack,36.99 KB,7.51 KB,9,PyScriptEditor.exe,C:\Program Files (x86)\SanDisk\NanoNTDevelopment\NanoNTDevelopment 12.9\Bin\PyScriptEditor.exe,2021-11-29 20:21:50
Sack,152.36 KB,320 bytes,2,LogonUI.exe,C:\Windows\System32\LogonUI.exe,2021-12-06 16:35:56
Sack,2.81 GB,49.4 MB,0,TaniumClient.exe,C:\Program Files (x86)\Tanium\Tanium Client\TaniumClient.exe,2021-12-08 15:34:17
Sack,13.38 KB,0 bytes,0,conhost.exe,C:\Windows\System32\conhost.exe,2021-12-08 15:34:17
Sack,4.87 MB,576 bytes,0,WmiPrvSE.exe,C:\Windows\System32\wbem\WmiPrvSE.exe,2021-12-08 17:39:36
Sack,26.2 MB,78.73 KB,0,TaniumClient.exe,C:\Program Files (x86)\Tanium\Tanium Client\TaniumClient.exe,2021-12-08 17:46:21
NANO0101,-1 bytes,-1 bytes,0,[System Process],,1969-12-31 23:59:59
NANO0101,2.77 GB,5.36 GB,32,System,,2021-11-06 18:42:49
NANO0101,33.41 KB,20 bytes,32,smss.exe,C:\Windows\System32\smss.exe,2021-11-06 18:42:49
NANO0101,20.27 MB,0 bytes,32,csrss.exe,C:\Windows\System32\csrss.exe,2021-11-06 18:42:53
NANO0101,165.69 KB,0 bytes,32,wininit.exe,C:\Windows\System32\wininit.exe,2021-11-06 18:42:54
NANO0101,534.2 KB,0 bytes,32,csrss.exe,C:\Windows\System32\csrss.exe,2021-11-06 18:42:54
NANO0101,960.66 KB,1.76 KB,32,winlogon.exe,C:\Windows\System32\winlogon.exe,2021-11-06 18:42:54
NANO0101,2.85 GB,5.8 MB,32,services.exe,C:\Windows\System32\services.exe,2021-11-06 18:42:55
NANO0101,59.73 MB,78.88 MB,32,lsass.exe,C:\Windows\System32\lsass.exe,2021-11-06 18:42:56
NANO0101,343.61 KB,0 bytes,32,lsm.exe,C:\Windows\System32\lsm.exe,2021-11-06 18:42:56
NANO0101,25.91 GB,0 bytes,32,svchost.exe,C:\Windows\System32\svchost.exe,2021-11-06 18:42:56
NANO0101,27.7 KB,0 bytes,32,svchost.exe,C:\Windows\System32\svchost.exe,2021-11-06 18:42:57
NANO0101,5.61 GB,92.84 MB,32,svchost.exe,C:\Windows\System32\svchost.exe,2021-11-06 18:42:57
