_id,disk_bytes_read,disk_bytes_written,elapsed_time,host_hostname,name,path,start_time
619db92e73459a10a4a20012,2.58 KB,55.92 KB,5,STBOXX60,svchost.exe,C:\Windows\System32\svchost.exe,2021-11-11 19:31:57
619db92e73459a10a4a20013,1.67 GB,12.93 MB,4,STBOXX60,MoUsoCoreWorker.exe,C:\Windows\System32\MoUsoCoreWorker.exe,2021-11-12 14:04:00
619db92e73459a10a4a20014,526.72 KB,4.87 MB,4,STBOXX60,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,2021-11-12 22:45:36
619db92e73459a10a4a20015,7.89 MB,4.28 MB,4,STBOXX60,WINWORD.EXE,C:\Program Files (x86)\Microsoft Office\Office12\WINWORD.EXE,2021-11-12 22:45:48
619db92e73459a10a4a20016,0 bytes,0 bytes,4,STBOXX60,splwow64.exe,C:\Windows\splwow64.exe,2021-11-12 22:45:49
619db92e73459a10a4a20017,133.87 MB,467.23 MB,4,STBOXX60,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,2021-11-12 22:47:41
619db92e73459a10a4a20018,489.36 KB,4.31 MB,4,STBOXX60,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,2021-11-12 22:48:41
619db92e73459a10a4a20019,14.92 MB,33.2 MB,4,STBOXX60,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,2021-11-12 22:48:47
619db92e73459a10a4a2001a,832.93 KB,4.19 MB,4,STBOXX60,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,2021-11-12 22:48:47
619db92e73459a10a4a2001b,12.62 MB,15.24 MB,4,STBOXX60,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,2021-11-12 22:50:27
619db92e73459a10a4a2001c,355.47 MB,213.86 MB,3,STBOXX60,svchost.exe,C:\Windows\System32\svchost.exe,2021-11-13 18:59:47
619db92e73459a10a4a2001d,512 bytes,0 bytes,3,STBOXX60,SDXHelperBgt.exe,C:\Program Files\WindowsApps\Microsoft.Office.Desktop_16051.14527.20276.0_x86__8wekyb3d8bbwe\Office16\SDXHelperBgt.exe,2021-11-13 19:11:06
619db92e73459a10a4a2001e,2.58 KB,0 bytes,3,STBOXX60,RuntimeBroker.exe,C:\Windows\System32\RuntimeBroker.exe,2021-11-13 19:11:06
619db92e73459a10a4a2001f,1.37 MB,158.31 KB,2,STBOXX60,LogiOptionsMgr.exe,C:\ProgramData\Logishrd\LogiOptions\Software\Current\LogiOptionsMgr.exe,2021-11-14 16:34:05
619db92e73459a10a4a20020,145.17 MB,102.39 MB,1,STBOXX60,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,2021-11-15 17:31:21
619db92e73459a10a4a20021,14.91 MB,29.33 MB,1,STBOXX60,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,2021-11-15 17:34:46
619db92e73459a10a4a20022,250.46 KB,910.08 KB,1,STBOXX60,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,2021-11-15 17:36:46
619db92e73459a10a4a20023,67.07 MB,26.64 MB,1,STBOXX60,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,2021-11-15 18:27:24
619db92e73459a10a4a20024,1.81 GB,883 bytes,1,STBOXX60,RemotePCService.exe,C:\Program Files (x86)\RemotePC\RemotePCService.exe,2021-11-15 18:55:29
619db92e73459a10a4a20025,90.41 MB,314.02 MB,1,STBOXX60,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,2021-11-15 19:05:03
619db92e73459a10a4a20026,356.03 KB,206.83 KB,0,STBOXX60,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,2021-11-16 17:30:20
